variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
baseline,2,bit-15-4096,build,0,3,2632,974417,0,0,0,0,2558807147
baseline,2,bit-15-4096,query,0,3,4096,28375542,0,0,0,0,6584442294199094370
candidate,2,byte-3-0,build,0,1,5690,1211500,0,0,0,0,1761918743
candidate,2,byte-3-0,query,0,1,4096,18036375,0,0,0,0,6584442294199094370
candidate,2,byte-3-0,build,0,2,5690,1265208,0,0,0,0,1761918743
candidate,2,byte-3-0,query,0,2,4096,19263584,0,0,0,0,6584442294199094370
candidate,2,byte-3-0,build,0,3,5690,1229458,0,0,0,0,1761918743
candidate,2,byte-3-0,query,0,3,4096,18539041,0,0,0,0,6584442294199094370
candidate,2,byte-15-0,build,0,1,2632,644708,0,0,0,0,1583706055
candidate,2,byte-15-0,query,0,1,4096,16172667,0,0,0,0,6584442294199094370
candidate,2,byte-15-0,build,0,2,2632,639084,0,0,0,0,1583706055
candidate,2,byte-15-0,query,0,2,4096,16065041,0,0,0,0,6584442294199094370
candidate,2,byte-15-0,build,0,3,2632,634584,0,0,0,0,1583706055
candidate,2,byte-15-0,query,0,3,4096,16228083,0,0,0,0,6584442294199094370
candidate,2,bit-3-0,build,0,1,5690,1815792,0,0,0,0,3340569477
candidate,2,bit-3-0,query,0,1,4096,26801791,0,0,0,0,6584442294199094370
candidate,2,bit-3-0,build,0,2,5690,1759625,0,0,0,0,3340569477
candidate,2,bit-3-0,query,0,2,4096,27188166,0,0,0,0,6584442294199094370
candidate,2,bit-3-0,build,0,3,5690,1875542,0,0,0,0,3340569477
candidate,2,bit-3-0,query,0,3,4096,26920125,0,0,0,0,6584442294199094370
candidate,2,bit-15-0,build,0,1,2632,1009125,0,0,0,0,3904194795
candidate,2,bit-15-0,query,0,1,4096,24092292,0,0,0,0,6584442294199094370
candidate,2,bit-15-0,build,0,2,2632,1030917,0,0,0,0,3904194795
candidate,2,bit-15-0,query,0,2,4096,24408250,0,0,0,0,6584442294199094370
candidate,2,bit-15-0,build,0,3,2632,1005625,0,0,0,0,3904194795
candidate,2,bit-15-0,query,0,3,4096,24113958,0,0,0,0,6584442294199094370
candidate,2,byte-3-4096,build,0,1,5690,1240709,0,0,0,0,2588134493
candidate,2,byte-3-4096,query,0,1,4096,21100667,0,0,0,0,6584442294199094370
candidate,2,byte-3-4096,build,0,2,5690,1226208,0,0,0,0,2588134493
candidate,2,byte-3-4096,query,0,2,4096,20319833,0,0,0,0,6584442294199094370
candidate,2,byte-3-4096,build,0,3,5690,1186958,0,0,0,0,2588134493
candidate,2,byte-3-4096,query,0,3,4096,20323209,0,0,0,0,6584442294199094370
candidate,2,byte-15-4096,build,0,1,2632,621709,0,0,0,0,1896941275
candidate,2,byte-15-4096,query,0,1,4096,17562834,0,0,0,0,6584442294199094370
candidate,2,byte-15-4096,build,0,2,2632,636709,0,0,0,0,1896941275
candidate,2,byte-15-4096,query,0,2,4096,18544542,0,0,0,0,6584442294199094370
candidate,2,byte-15-4096,build,0,3,2632,630042,0,0,0,0,1896941275
candidate,2,byte-15-4096,query,0,3,4096,19049166,0,0,0,0,6584442294199094370
candidate,2,bit-3-4096,build,0,1,5690,1756917,0,0,0,0,3555944624
candidate,2,bit-3-4096,query,0,1,4096,31590292,0,0,0,0,6584442294199094370
candidate,2,bit-3-4096,build,0,2,5690,1763333,0,0,0,0,3555944624
candidate,2,bit-3-4096,query,0,2,4096,31237833,0,0,0,0,6584442294199094370
candidate,2,bit-3-4096,build,0,3,5690,1822000,0,0,0,0,3555944624
candidate,2,bit-3-4096,query,0,3,4096,30778708,0,0,0,0,6584442294199094370
candidate,2,bit-15-4096,build,0,1,2632,1017625,0,0,0,0,2558807147
candidate,2,bit-15-4096,query,0,1,4096,27459583,0,0,0,0,6584442294199094370
candidate,2,bit-15-4096,build,0,2,2632,963542,0,0,0,0,2558807147
candidate,2,bit-15-4096,query,0,2,4096,27424375,0,0,0,0,6584442294199094370
candidate,2,bit-15-4096,build,0,3,2632,974125,0,0,0,0,2558807147
candidate,2,bit-15-4096,query,0,3,4096,29539959,0,0,0,0,6584442294199094370
candidate,3,byte-3-0,build,0,1,5690,1195750,0,0,0,0,1761918743
candidate,3,byte-3-0,query,0,1,4096,18013292,0,0,0,0,6584442294199094370
candidate,3,byte-3-0,build,0,2,5690,1252875,0,0,0,0,1761918743
candidate,3,byte-3-0,query,0,2,4096,18016166,0,0,0,0,6584442294199094370
candidate,3,byte-3-0,build,0,3,5690,1212417,0,0,0,0,1761918743
candidate,3,byte-3-0,query,0,3,4096,18109917,0,0,0,0,6584442294199094370
candidate,3,byte-15-0,build,0,1,2632,707667,0,0,0,0,1583706055
